"ID","X1","X2","SYPA","GREVO","MAGNA"
"102","Meemannia","Eurycaraspis",0.169811320754717,7,0.740741
"103","Meemannia","Eusthenopteron",0.147540983606557,12,0.875
"104","Meemannia","Guiyu",0.125,11,0.913043
"105","Meemannia","Lunaspis",0.192307692307692,9,0.730769
"106","Moythomasia","Actinolepis",0.240506329113924,8,0.837209
"107","Moythomasia","Bothriolepis",0.0941176470588235,17,0.8
"108","Moythomasia","Brindabellaspis",0.237623762376238,21,0.630137
"109","Moythomasia","Buchanosteus",0.305555555555556,9,0.861111
"110","Moythomasia","Cheirolepis",0.472222222222222,8,0.730769
"111","Moythomasia","Cowralepis",0.0769230769230769,11,0.814815
"112","Moythomasia","Dialipina",0.207792207792208,10,0.764706
"113","Moythomasia","Diandongpetalichthys",0.172839506172839,11,0.75
"114","Moythomasia","Dicksonosteus",0.410958904109589,9,0.692308
"115","Moythomasia","Entelognathus",0.306666666666667,13,0.756098
"116","Moythomasia","Eurycaraspis",0.192771084337349,10,0.74359
"117","Moythomasia","Eusthenopteron",0.445945945945946,8,0.814815
"118","Moythomasia","Guiyu",0.388235294117647,17,0.61194
"119","Moythomasia","Lunaspis",0.207317073170732,15,0.804878
"120","Moythomasia","Meemannia",0.202898550724638,8,0.826087
"121","Romundina","Actinolepis",0.349206349206349,7,0.829268
"122","Romundina","Bothriolepis",0.311475409836066,8,0.777778
"123","Romundina","Brindabellaspis",0.317647058823529,10,0.696429
"124","Romundina","Buchanosteus",0.5,7,0.861111
"125","Romundina","Cheirolepis",0.256756756756757,19,0.690909
"126","Romundina","Cowralepis",0.245614035087719,8,0.814815
"127","Romundina","Dialipina",0.290322580645161,12,0.794118
"128","Romundina","Diandongpetalichthys",0.389830508474576,7,0.783784
"129","Romundina","Dicksonosteus",0.428571428571428,7,0.673077
"130","Romundina","Entelognathus",0.416666666666667,13,0.756098
"131","Romundina","Eurycaraspis",0.387096774193548,11,0.777778
"132","Romundina","Eusthenopteron",0.342857142857143,16,0.596491
"133","Romundina","Guiyu",0.280487804878049,23,0.647059
"134","Romundina","Lunaspis",0.387096774193548,9,0.704545
"135","Romundina","Meemannia",0.272727272727273,11,0.869565
"136","Romundina","Moythomasia",0.289156626506024,15,0.654545
"137","Wuttagoonaspis","Actinolepis",0.444444444444444,8,0.862069
"138","Wuttagoonaspis","Bothriolepis",0.428571428571428,7,0.666667
"139","Wuttagoonaspis","Brindabellaspis",0.26027397260274,12,0.84375
"140","Wuttagoonaspis","Buchanosteus",0.326086956521739,6,0.694444
"141","Wuttagoonaspis","Cheirolepis",0.17741935483871,13,0.65625
"142","Wuttagoonaspis","Cowralepis",0.545454545454545,6,0.75
"143","Wuttagoonaspis","Dialipina",0.395348837209302,8,0.685714
"144","Wuttagoonaspis","Diandongpetalichthys",0.55,8,0.589744
"145","Wuttagoonaspis","Dicksonosteus",0.25,5,0.793103
"146","Wuttagoonaspis","Entelognathus",0.625,6,0.735294
"147","Wuttagoonaspis","Eurycaraspis",0.534883720930233,8,0.705882
"148","Wuttagoonaspis","Eusthenopteron",0.193548387096774,11,0.833333
"149","Wuttagoonaspis","Guiyu",0.180555555555555,14,0.75
"150","Wuttagoonaspis","Lunaspis",0.5,6,0.685714
"151","Wuttagoonaspis","Meemannia",0.388888888888889,5,0.826087
"152","Wuttagoonaspis","Moythomasia",0.115384615384615,14,0.78125
"153","Wuttagoonaspis","Romundina",0.275862068965517,8,0.78125
