         836326 function calls (822192 primitive calls) in 1.019 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      765    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      765    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      765    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
  161/159    0.000    0.000    0.218    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
  161/123    0.000    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
     8817    0.007    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1218(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(_get_parent_path)
     8817    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1232(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1245(__iter__)
     1530    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     3060    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      109    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
     1830    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
     3991    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  999/998    0.004    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      998    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
     1408    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      110    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      880    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      935    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     1709    0.013    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     1296    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      110    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      110    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     1530    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      926    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      765    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      765    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      765    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      765    0.002    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     1709    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      935    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     2295    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      765    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    765/3    0.002    0.000    0.977    0.326 <frozen importlib._bootstrap_external>:844(exec_module)
      765    0.006    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      110    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       29    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.013    0.013 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       13    0.000    0.000    0.000    0.000 <string>:2(__init__)
        7    0.000    0.000    0.002    0.000 Corphl.py:100(ReflectNodes)
       12    0.000    0.000    0.000    0.000 Corphl.py:107(NodeCluster)
        6    0.000    0.000    0.002    0.000 Corphl.py:114(ExpectedClusReflection)
        1    0.000    0.000    0.000    0.000 Corphl.py:132(Neighbours)
        6    0.000    0.000    0.003    0.000 Corphl.py:135(FixEdgeSymTopo)
        1    0.000    0.000    0.000    0.000 Corphl.py:154(ReflectSymVal)
        7    0.000    0.000    0.004    0.001 Corphl.py:164(Reflect)
        1    0.000    0.000    0.000    0.000 Corphl.py:17(Morph)
        1    0.000    0.000    0.004    0.004 Corphl.py:183(FixNodeSymmetry)
        1    0.000    0.000    0.000    0.000 Corphl.py:19(__init__)
        1    0.000    0.000    0.004    0.004 Corphl.py:203(FixMorphSymmetry)
        1    0.000    0.000    0.043    0.043 Corphl.py:212(main)
        1    0.000    0.000    0.001    0.001 Corphl.py:24(from_edgelist)
        1    0.000    0.000    1.020    1.020 Corphl.py:3(<module>)
        1    0.000    0.000    0.036    0.036 Corphl.py:46(draw)
        1    0.000    0.000    0.000    0.000 Corphl.py:53(biMorph)
        1    0.000    0.000    0.000    0.000 Corphl.py:55(__init__)
       18    0.000    0.000    0.000    0.000 Corphl.py:58(Set_Node_Symmetry)
        1    0.000    0.000    0.000    0.000 Corphl.py:64(Initialise_Symmetry)
       40    0.000    0.000    0.003    0.000 Corphl.py:87(ReflectNodeId)
        1    0.000    0.000    0.000    0.000 GLib.py:173(Variant)
        1    0.000    0.000    0.006    0.006 GLib.py:22(<module>)
        1    0.000    0.000    0.000    0.000 GLib.py:486(MainLoop)
        1    0.000    0.000    0.000    0.000 GLib.py:504(MainContext)
        1    0.000    0.000    0.000    0.000 GLib.py:514(Source)
        1    0.000    0.000    0.000    0.000 GLib.py:572(Idle)
        1    0.000    0.000    0.000    0.000 GLib.py:587(Timeout)
        1    0.000    0.000    0.000    0.000 GLib.py:694(IOChannel)
        1    0.000    0.000    0.000    0.000 GLib.py:776(PollFD)
        1    0.000    0.000    0.000    0.000 GLib.py:86(_VariantCreator)
        1    0.000    0.000    0.000    0.000 GObject.py:202(Value)
        1    0.000    0.000    0.002    0.002 GObject.py:24(<module>)
        1    0.000    0.000    0.000    0.000 GObject.py:383(_HandlerBlockManager)
        1    0.000    0.000    0.000    0.000 GObject.py:476(_FreezeNotifyManager)
        5    0.000    0.000    0.000    0.000 GObject.py:487(_signalmethod)
        1    0.000    0.000    0.000    0.000 GObject.py:497(Object)
        1    0.000    0.000    0.000    0.000 GObject.py:639(Binding)
        1    0.000    0.000    0.000    0.000 Gdk.py:167(Window)
        1    0.000    0.000    0.000    0.000 Gdk.py:186(Event)
        1    0.007    0.007    0.018    0.018 Gdk.py:22(<module>)
        1    0.000    0.000    0.000    0.000 Gdk.py:310(DragContext)
        1    0.000    0.000    0.000    0.000 Gdk.py:318(Cursor)
        1    0.000    0.000    0.000    0.000 Gdk.py:46(Color)
        1    0.000    0.000    0.000    0.000 Gdk.py:88(RGBA)
        1    0.000    0.000    0.001    0.001 GdkPixbuf.py:18(<module>)
        1    0.000    0.000    0.000    0.000 GdkPixbuf.py:31(Pixbuf)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Gio.py:100(DBusSignalInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:108(DBusInterfaceInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:116(DBusNodeInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:124(ActionMap)
        1    0.000    0.000    0.000    0.000 Gio.py:202(FileEnumerator)
        1    0.000    0.000    0.003    0.003 Gio.py:21(<module>)
        1    0.000    0.000    0.000    0.000 Gio.py:222(MenuItem)
        1    0.000    0.000    0.000    0.000 Gio.py:232(Settings)
        1    0.000    0.000    0.000    0.000 Gio.py:304(_DBusProxyMethodCall)
        1    0.000    0.000    0.000    0.000 Gio.py:37(Application)
        1    0.000    0.000    0.000    0.000 Gio.py:371(DBusProxy)
        1    0.000    0.000    0.000    0.000 Gio.py:424(ListModel)
        1    0.000    0.000    0.000    0.000 Gio.py:476(ListStore)
        7    0.000    0.000    0.000    0.000 Gio.py:49(_warn_init)
        1    0.000    0.000    0.000    0.000 Gio.py:67(VolumeMonitor)
        1    0.000    0.000    0.000    0.000 Gio.py:76(DBusAnnotationInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:84(DBusArgInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:92(DBusMethodInfo)
        1    0.000    0.000    0.000    0.000 Gtk.py:100(_FreezeNotifyManager)
        1    0.000    0.000    0.000    0.000 Gtk.py:1078(TreeModelRow)
        1    0.000    0.000    0.000    0.000 Gtk.py:111(Widget)
        1    0.000    0.000    0.000    0.000 Gtk.py:1184(TreeModelRowIter)
        1    0.000    0.000    0.000    0.000 Gtk.py:1208(TreePath)
        1    0.000    0.000    0.000    0.000 Gtk.py:1261(TreeStore)
        1    0.000    0.000    0.000    0.000 Gtk.py:1345(TreeView)
        1    0.000    0.000    0.000    0.000 Gtk.py:1393(TreeViewColumn)
        1    0.000    0.000    0.000    0.000 Gtk.py:1420(TreeSelection)
        1    0.000    0.000    0.000    0.000 Gtk.py:1446(Button)
        1    0.000    0.000    0.000    0.000 Gtk.py:1486(LinkButton)
        1    0.000    0.000    0.000    0.000 Gtk.py:1494(Label)
        1    0.000    0.000    0.000    0.000 Gtk.py:1503(Adjustment)
        1    0.000    0.000    0.000    0.000 Gtk.py:1538(Table)
        1    0.000    0.000    0.000    0.000 Gtk.py:1550(ScrolledWindow)
        1    0.000    0.000    0.000    0.000 Gtk.py:1560(HScrollbar)
        1    0.000    0.000    0.000    0.000 Gtk.py:1568(VScrollbar)
        1    0.000    0.000    0.000    0.000 Gtk.py:1578(Paned)
        1    0.000    0.000    0.000    0.000 Gtk.py:1590(Arrow)
        1    0.000    0.000    0.000    0.000 Gtk.py:1598(IconSet)
        1    0.000    0.000    0.000    0.000 Gtk.py:160(Container)
        1    0.000    0.000    0.000    0.000 Gtk.py:1615(Viewport)
        1    0.000    0.000    0.000    0.000 Gtk.py:1624(TreeModelFilter)
        1    0.000    0.000    0.000    0.000 Gtk.py:1661(Menu)
        1    0.000    0.000    0.000    0.000 Gtk.py:206(Editable)
        1    0.000    0.000    0.000    0.000 Gtk.py:219(Action)
        1    0.003    0.003    0.026    0.026 Gtk.py:22(<module>)
        1    0.000    0.000    0.000    0.000 Gtk.py:227(RadioAction)
        1    0.000    0.000    0.000    0.000 Gtk.py:235(ActionGroup)
        1    0.000    0.000    0.000    0.000 Gtk.py:396(UIManager)
        1    0.000    0.000    0.000    0.000 Gtk.py:412(ComboBox)
        1    0.000    0.000    0.000    0.000 Gtk.py:421(Box)
        1    0.000    0.000    0.000    0.000 Gtk.py:431(SizeGroup)
        1    0.000    0.000    0.000    0.000 Gtk.py:442(MenuItem)
        1    0.000    0.000    0.000    0.000 Gtk.py:458(Builder)
        1    0.000    0.000    0.000    0.000 Gtk.py:516(Window)
        1    0.000    0.000    0.000    0.000 Gtk.py:529(Dialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:60(PyGTKDeprecationWarning)
        1    0.000    0.000    0.000    0.000 Gtk.py:622(MessageDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:643(ColorSelectionDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:651(FileChooserDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:661(FontSelectionDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:671(RecentChooserDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:683(IconView)
        1    0.000    0.000    0.000    0.000 Gtk.py:699(ToolButton)
        1    0.000    0.000    0.000    0.000 Gtk.py:708(IMContext)
        1    0.000    0.000    0.000    0.000 Gtk.py:716(RecentInfo)
        1    0.000    0.000    0.000    0.000 Gtk.py:724(TextBuffer)
        1    0.000    0.000    0.000    0.000 Gtk.py:802(TextIter)
        1    0.000    0.000    0.000    0.000 Gtk.py:811(TreeModel)
        1    0.000    0.000    0.000    0.000 Gtk.py:963(TreeSortable)
        1    0.000    0.000    0.000    0.000 Gtk.py:979(TreeModelSort)
        1    0.000    0.000    0.000    0.000 Gtk.py:993(ListStore)
        1    0.000    0.000    0.000    0.000 Image.py:100(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:2620(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2629(ImageTransformHandler)
        1    0.000    0.000    0.004    0.004 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3138(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3153(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3164(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3175(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3187(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3198(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3321(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3357(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:467(_E)
        1    0.000    0.000    0.000    0.000 Image.py:508(Image)
        1    0.000    0.000    0.000    0.000 Image.py:96(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:313(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:339(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:576(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:587(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.001    0.001 Pango.py:21(<module>)
        1    0.000    0.000    0.000    0.000 Pango.py:29(FontDescription)
        1    0.000    0.000    0.000    0.000 Pango.py:45(Layout)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1036(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1047(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.002    0.002 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       89    0.003    0.000    0.899    0.010 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1006(group_vector_property)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1076(IsingMetropolisState)
        3    0.000    0.000    0.001    0.000 __init__.py:1087(ungroup_vector_property)
   238/13    0.000    0.000    0.099    0.008 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1097(BellmanFordVisitor)
        1    0.000    0.000    0.211    0.211 __init__.py:1098(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
      594    0.001    0.000    0.016    0.000 __init__.py:111(resource_exists)
      595    0.000    0.000    0.016    0.000 __init__.py:1112(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1122(HashimotoOperator)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        3    0.000    0.000    0.000    0.000 __init__.py:1129(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:115(EmptyDataError)
        1    0.000    0.000    0.000    0.000 __init__.py:1152(map_property_values)
        1    0.000    0.000    0.000    0.000 __init__.py:1167(PottsGlauberState)
        1    0.000    0.000    0.000    0.000 __init__.py:1175(CompactHashimotoOperator)
        1    0.000    0.000    0.000    0.000 __init__.py:1186(label_components)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:12(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:122(ParserWarning)
        5    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1230(append)
       37    0.000    0.000    0.004    0.000 __init__.py:1252(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1258(PottsMetropolisState)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1283(<dictcomp>)
       29    0.000    0.000    0.000    0.000 __init__.py:1284(getLogger)
       72    0.001    0.000    0.007    0.000 __init__.py:1287(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
       19    0.000    0.000    0.000    0.000 __init__.py:1325(_to_unmasked_float_array)
       19    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       28    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1361(AStarVisitor)
        1    0.000    0.000    0.000    0.000 __init__.py:1363(KirmanState)
        1    0.000    0.000    0.000    0.000 __init__.py:1375(InternalPropertyDict)
       17    0.000    0.000    0.000    0.000 __init__.py:1379(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:138(_check_versions)
       18    0.000    0.000    0.001    0.000 __init__.py:1383(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
       18    0.000    0.000    0.000    0.000 __init__.py:1396(__set_property)
       29    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(PropertyDict)
       11    0.000    0.000    0.000    0.000 __init__.py:1424(debug)
       51    0.000    0.000    0.000    0.000 __init__.py:1426(__init__)
      186    0.000    0.000    0.000    0.000 __init__.py:1433(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:1444(AxelrodState)
        3    0.000    0.000    0.000    0.000 __init__.py:1453(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:146(EpidemicStateBase)
       22    0.000    0.000    0.001    0.000 __init__.py:152(flex_method_SERIES)
       15    0.000    0.000    0.000    0.000 __init__.py:152(get_required_version)
      186    0.000    0.000    0.000    0.000 __init__.py:1527(__getattr__)
       57    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:1533(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:1537(BooleanState)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(Graph)
      124    0.000    0.000    0.001    0.000 __init__.py:157(_prop)
       17    0.000    0.000    0.001    0.000 __init__.py:1575(__init__)
       82    0.000    0.000    0.001    0.000 __init__.py:161(override)
        1    0.000    0.000    0.000    0.000 __init__.py:1610(ContinuousStateBase)
        1    0.000    0.000    0.000    0.000 __init__.py:163(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        3    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1681(KuramotoState)
       11    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        2    0.000    0.000    0.000    0.000 __init__.py:174(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
