Tue Jul 20 19:06:30 2021    profile.txt

         27953028 function calls (27862936 primitive calls) in 12.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.004    0.000    0.231    0.007 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/drawing/nx_pylab.py:795(draw_networkx_labels)
    10095    0.052    0.000    0.230    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/artist.py:1038(update)
       33    0.000    0.000    0.223    0.007 /usr/lib/python3/dist-packages/PIL/Image.py:2728(fromarray)
       33    0.000    0.000    0.220    0.007 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backend_bases.py:3547(new_figure_manager_given_figure)
     1314    0.023    0.000    0.216    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/text.py:287(_get_layout)
    54320    0.092    0.000    0.206    0.000 /usr/lib/python3.9/random.py:349(shuffle)
      132    0.001    0.000    0.205    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:3187(tick_params)
     1812    0.010    0.000    0.205    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/text.py:129(__init__)
       33    0.204    0.006    0.204    0.006 {method 'tobytes' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.203    0.203 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/pyplot.py:4(<module>)
       33    0.000    0.000    0.201    0.006 <decorator-gen-736>:1(fruchterman_reingold_layout)
    66/33    0.000    0.000    0.200    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/utils/decorators.py:392(_random_state)
       33    0.001    0.000    0.200    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/drawing/layout.py:357(fruchterman_reingold_layout)
       33    0.000    0.000    0.193    0.006 <decorator-gen-738>:1(_fruchterman_reingold)
       33    0.052    0.002    0.193    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/drawing/layout.py:512(_fruchterman_reingold)
    14520    0.017    0.000    0.185    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/function.py:694(get_node_attributes)
1794276/1776002    0.167    0.000    0.173    0.000 {built-in method builtins.len}
   151836    0.025    0.000    0.163    0.000 {built-in method builtins.next}
      657    0.004    0.000    0.159    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_axes.py:581(text)
    14520    0.058    0.000    0.151    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/function.py:716(<dictcomp>)
   210484    0.090    0.000    0.150    0.000 {method 'update' of 'set' objects}
     2628    0.148    0.000    0.148    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.000    0.000    0.148    0.148 /home/hallowstar/.local/lib/python3.9/site-packages/pandas/__init__.py:3(<module>)
   407558    0.144    0.000    0.146    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/reportviews.py:1116(__iter__)
       99    0.000    0.000    0.144    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:2320(_get_tick)
       99    0.001    0.000    0.144    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:486(__init__)
       33    0.065    0.002    0.142    0.004 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_qt5.py:530(__init__)
    56200    0.122    0.000    0.142    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Glob.py:117(<listcomp>)
       66    0.000    0.000    0.141    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:912(set_clip_path)
   141911    0.096    0.000    0.141    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/__init__.py:604(__getitem__)
   160968    0.128    0.000    0.128    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Glob.py:106(<listcomp>)
   402080    0.125    0.000    0.127    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.126    0.126 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/generators/community.py:1(<module>)
1681/1520    0.020    0.000    0.125    0.000 {built-in method builtins.__build_class__}
      852    0.006    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:921(get_code)
   322699    0.088    0.000    0.124    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/graph.py:1199(neighbors)
      132    0.002    0.000    0.120    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/collections.py:344(draw)
      408    0.002    0.000    0.120    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/isomorphism/isomorph.py:127(is_isomorphic)
  1326625    0.116    0.000    0.116    0.000 {built-in method builtins.hasattr}
     4584    0.009    0.000    0.116    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/text.py:173(update)
     1185    0.006    0.000    0.114    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/artist.py:749(set_clip_path)
       33    0.001    0.000    0.114    0.003 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:742(_init_axis)
     1314    0.004    0.000    0.113    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:217(get_text_width_height_descent)
   138380    0.076    0.000    0.109    0.000 /usr/lib/python3.9/random.py:238(_randbelow_with_getrandbits)
      408    0.002    0.000    0.107    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/isomorphism/isomorphvf2.py:266(is_isomorphic)
   232136    0.080    0.000    0.106    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/coreviews.py:78(__getitem__)
      132    0.000    0.000    0.101    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:166(draw_path_collection)
      132    0.093    0.001    0.101    0.001 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   231975    0.067    0.000    0.100    0.000 /usr/lib/python3.9/_collections_abc.py:848(__iter__)
        1    0.000    0.000    0.100    0.100 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/colorbar.py:1(<module>)
 1571/787    0.004    0.000    0.097    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/isomorphism/isomorphvf2.py:296(match)
      101    0.000    0.000    0.096    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/isomorphism/isomorphvf2.py:289(isomorphisms_iter)
   577531    0.095    0.000    0.095    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Morphlings.py:34(is_L_or_R)
        1    0.001    0.001    0.095    0.095 /home/hallowstar/.local/lib/python3.9/site-packages/scipy/__init__.py:1(<module>)
      528    0.001    0.000    0.095    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:742(_set_scale)
      528    0.002    0.000    0.092    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/scale.py:96(set_default_locators_and_formatters)
     4416    0.021    0.000    0.091    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/font_manager.py:638(__init__)
     1317    0.002    0.000    0.090    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/patches.py:271(get_transform)
112569/95049    0.051    0.000    0.087    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/artist.py:241(stale)
      454    0.003    0.000    0.087    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/graph.py:1447(copy)
        1    0.000    0.000    0.087    0.087 /home/hallowstar/.local/lib/python3.9/site-packages/pandas/core/api.py:3(<module>)
        1    0.000    0.000    0.086    0.086 /home/hallowstar/.local/lib/python3.9/site-packages/numpy/__init__.py:1(<module>)
       66    0.001    0.000    0.086    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:2070(_update_label_position)
        1    0.000    0.000    0.085    0.085 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/generators/intersection.py:1(<module>)
        1    0.000    0.000    0.084    0.084 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/algorithms/__init__.py:1(<module>)
      852    0.002    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      852    0.080    0.000    0.080    0.000 {built-in method marshal.loads}
     1812    0.003    0.000    0.080    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/text.py:1240(set_fontproperties)
     1251    0.005    0.000    0.079    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/patches.py:772(get_patch_transform)
       33    0.000    0.000    0.077    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_qt5agg.py:19(__init__)
       33    0.003    0.000    0.077    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_qt5.py:211(__init__)
       66    0.001    0.000    0.077    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:653(__init__)
       33    0.001    0.000    0.076    0.002 /usr/lib/python3/dist-packages/PIL/Image.py:2087(save)
     2628    0.006    0.000    0.075    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:269(_get_agg_font)
      747    0.003    0.000    0.073    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/decorator.py:196(create)
       66    0.001    0.000    0.072    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:1847(_get_tick_boxes_siblings)
   635286    0.072    0.000    0.072    0.000 {built-in method builtins.iter}
       33    0.071    0.002    0.071    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_qt5.py:96(_create_qApp)
     2037    0.005    0.000    0.070    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/transforms.py:1447(transform)
    15802    0.070    0.000    0.070    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      528    0.001    0.000    0.069    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/ticker.py:2890(__init__)
     2065    0.038    0.000    0.069    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      594    0.043    0.000    0.069    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/graph.py:884(add_edges_from)
      528    0.001    0.000    0.068    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/ticker.py:2086(__init__)
       33    0.000    0.000    0.068    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axis.py:2279(__init__)
      528    0.002    0.000    0.067    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/ticker.py:2157(set_params)
   219999    0.045    0.000    0.067    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/classes/coreviews.py:47(__iter__)
       33    0.001    0.000    0.066    0.002 /usr/lib/python3/dist-packages/PIL/JpegImagePlugin.py:607(_save)
       66    0.000    0.000    0.066    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/collections.py:1009(draw)
     5403    0.006    0.000    0.065    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
       33    0.000    0.000    0.065    0.002 /usr/lib/python3/dist-packages/PIL/ImageFile.py:488(_save)
     4950    0.004    0.000    0.065    0.000 <__array_function__ internals>:2(norm)
        1    0.000    0.000    0.065    0.065 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/contour.py:1(<module>)
  984/982    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       33    0.064    0.002    0.064    0.002 {method 'encode_to_file' of 'ImagingEncoder' objects}
       33    0.001    0.000    0.064    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/networkx/drawing/nx_pylab.py:493(draw_networkx_edges)
      657    0.001    0.000    0.064    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/text.py:526(set_clip_path)
     7260    0.038    0.000    0.063    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Glob.py:141(correct_sym)
     1314    0.021    0.000    0.063    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   156889    0.062    0.000    0.062    0.000 {method 'items' of 'dict' objects}
       11    0.000    0.000    0.062    0.006 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/artist.py:1692(kwdoc)
    27105    0.014    0.000    0.060    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
   160969    0.060    0.000    0.060    0.000 {method 'union' of 'set' objects}
   109/73    0.000    0.000    0.058    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
        1    0.000    0.000    0.058    0.058 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/figure.py:1(<module>)
   109/73    0.013    0.000    0.058    0.001 {built-in method _imp.exec_dynamic}
     1014    0.005    0.000    0.057    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     4950    0.024    0.000    0.056    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/numpy/linalg/linalg.py:2363(norm)
     2628    0.009    0.000    0.056    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/font_manager.py:1248(findfont)
4536/2268    0.012    0.000    0.055    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/transforms.py:2401(get_affine)
     2037    0.002    0.000    0.054    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/transforms.py:2377(transform_affine)
     3135    0.003    0.000    0.053    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/markers.py:220(__init__)
        1    0.000    0.000    0.053    0.053 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/projections/__init__.py:1(<module>)
    13710    0.009    0.000    0.053    0.000 /usr/lib/python3.9/re.py:289(_compile)
        1    0.000    0.000    0.053    0.053 /home/hallowstar/.local/lib/python3.9/site-packages/pandas/core/groupby/__init__.py:1(<module>)
       66    0.001    0.000    0.053    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_base.py:2045(add_collection)
       33    0.000    0.000    0.053    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/__init__.py:1358(inner)
        1    0.000    0.000    0.053    0.053 /home/hallowstar/.local/lib/python3.9/site-packages/pandas/core/groupby/generic.py:1(<module>)
       33    0.001    0.000    0.052    0.002 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/axes/_axes.py:4371(scatter)
     1182    0.052    0.000    0.052    0.000 {built-in method builtins.compile}
     6705    0.015    0.000    0.052    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     2406    0.003    0.000    0.051    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/font_manager.py:930(copy)
      453    0.002    0.000    0.050    0.000 /home/hallowstar/Documents/Masters/GrEv2/Code/Morphlings.py:178(mutate)
233791/233787    0.038    0.000    0.050    0.000 {built-in method builtins.isinstance}
     1914    0.002    0.000    0.050    0.000 <__array_function__ internals>:2(clip)
       33    0.000    0.000    0.049    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_qt5.py:594(_get_toolbar)
       33    0.010    0.000    0.049    0.001 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/backends/backend_qt5.py:647(__init__)
     3498    0.002    0.000    0.048    0.000 /home/hallowstar/.local/lib/python3.9/site-packages/matplotlib/lines.py:66(_scale_dashes)
